Term_ID,English_Term,Abbreviation,Preferred_Chinese,Alternative_Chinese,Discipline,Subfield,Definition,Context,Confidence,Evidence_Level,Evidence_IDs,Status,First_Verified,Last_Verified,Notes
TERM-0001,"memory consolidation","","记忆巩固","","心理学；认知神经科学","睡眠与记忆","新形成的记忆表征随时间稳定、整合或重组的过程","睡眠依赖性记忆过程",HIGH,TE6,TERMEV-0001,ACTIVE,2026-09-05,2026-09-06,"领域稳定用法"
TERM-0002,"slow wave sleep","SWS","慢波睡眠（SWS）","","睡眠医学；睡眠神经科学","睡眠阶段与架构","以高振幅低频脑电活动为主要特征的非快速眼动睡眠深睡阶段","健康成人PSG/EEG睡眠分期",HIGH,TE1,TERMEV-0002,ACTIVE,2026-09-05,2026-09-06,"与中文睡眠医学规范用语一致"
TERM-0003,"rapid eye movement sleep","REM","快速眼动睡眠（REM）","","睡眠医学；睡眠神经科学","睡眠阶段与架构","伴快速眼动、肌张力降低及特征性脑电活动的睡眠阶段","健康成人PSG/EEG睡眠分期",HIGH,TE1,TERMEV-0002,ACTIVE,2026-09-05,2026-09-06,"正文首次出现保留缩写"
TERM-0004,"sleep spindle","","睡眠纺锤波","","睡眠医学；睡眠神经科学","睡眠EEG事件","NREM睡眠中出现的短暂纺锤样节律脑电事件","睡眠EEG微结构与记忆研究",HIGH,TE1,TERMEV-0002,ACTIVE,2026-09-05,2026-09-06,"不译为睡眠主轴或纺锤体"
TERM-0005,"targeted memory reactivation","TMR","目标记忆再激活（TMR）","","认知心理学；睡眠神经科学","睡眠期记忆操纵","在睡眠中重现与先前学习项目关联的线索以选择性影响记忆加工的实验范式","睡眠期声音线索范式",HIGH,TE3,TERMEV-0003,ACTIVE,2026-09-05,2026-09-06,"采用中国科学院心理研究所用法"
TERM-0006,"emotional declarative memory","","情绪性陈述记忆","","认知心理学；情绪神经科学","情绪记忆","可有意识提取、且材料具有情绪属性的陈述性记忆","Yuksel 2025图片空间位置记忆",HIGH,TE6,TERMEV-0001,CONTEXTUAL,2026-09-05,2026-09-06,"与情绪反应或侵入性记忆区分"
TERM-0007,"emotional valence","","情绪效价","","情绪心理学","刺激评价维度","刺激或体验在积极—消极维度上的情绪属性","情绪刺激评分",HIGH,TE6,TERMEV-0004,ACTIVE,2026-09-05,2026-09-06,"保留正负方向含义"
TERM-0008,"arousal","","唤醒度","","情绪心理学","刺激评价维度","刺激或体验所引发主观激活强度的评价维度","情绪刺激评分",HIGH,TE6,TERMEV-0004,CONTEXTUAL,2026-09-05,2026-09-06,"不与生理觉醒事件混同"
TERM-0009,"cueing benefit","","线索提示获益","","认知心理学；睡眠神经科学","TMR行为指标","提示相对于未提示项目带来的表现差异","Yuksel 2025项目级误差变化",HIGH,TE7,TERMEV-0005,CONTEXTUAL,2026-09-05,2026-09-06,"定义为未提示项目误差变化减提示项目误差变化"
TERM-0010,"reactivation","","再激活","","认知心理学；睡眠神经科学","记忆加工","已有记忆表征在无完整再学习时被重新激活的过程","TMR固定效应和条件",HIGH,TE6,TERMEV-0003,CONTEXTUAL,2026-09-05,2026-09-06,"表格列名保持一致"
TERM-0011,"SWS×REM product","","SWS×REM乘积","","睡眠神经科学","跨阶段指标","SWS与REM时间百分比相乘得到的复合睡眠阶段指标","Yuksel 2025跨睡眠阶段时间指标",HIGH,TE7,TERMEV-0005,CONTEXTUAL,2026-09-05,2026-09-06,"不将相关关系写成阶段协同机制"
TERM-0012,"delta/theta power","","δ/θ功率","","睡眠神经科学；EEG","时频分析","δ与θ频段内的脑电功率","线索诱发时频活动",HIGH,TE7,TERMEV-0005,CONTEXTUAL,2026-09-05,2026-09-06,"按原文频段范围报告"
TERM-0013,"cluster-based permutation test","","基于簇的置换检验","","统计学；EEG","多重比较","利用置换分布对相邻时间、频率或空间点形成的统计簇进行推断的方法","EEG时频多重比较",HIGH,TE7,TERMEV-0005,CONTEXTUAL,2026-09-05,2026-09-06,"与Bonferroni和FDR分开"
TERM-0014,"compound symmetry covariance structure","","复合对称协方差结构","","统计学","重复测量模型","假定各观测方差相同且任意两次观测协方差相同的协方差结构","线性混合效应模型重复测量",HIGH,TE7,TERMEV-0005,CONTEXTUAL,2026-09-05,2026-09-06,"不补充原文未报告参数"
TERM-0015,"percent change in error","","误差百分比变化","","认知心理学；统计学","行为结局","相对于基线的误差百分比变化","Yuksel 2025空间位置记忆主要结局",HIGH,TE7,TERMEV-0005,CONTEXTUAL,2026-09-05,2026-09-06,"正值表示误差增加即记忆变差"
